date,group,subj,sex,age-yrs,agesex,type,cause,location
2011-05-22,TWS,Bonn11inf,M,0.2,inf,wound,infanticide,trunk
2011-05-23,TWS,Atom,F,2.2,juvf,wound,,headneck
2011-05-27,TWN,Asha,F,5.3,juvf,wound,,tail
2011-05-28,TWN,Kril,M,2.3,juvm,wound,,tail
2011-05-28,TWS,Kolv,F,9.1,adf,wound,,headneck
2011-06-04,GN,Pari,F,4.4,juvf,wound,within-group aggression,headneck
2011-06-05,GN,Prez,M,6.4,juvm,bump,,headneck
2011-06-15,TWN,Amos,M,1.3,juvm,limp,,limb
2011-06-16,TWS,Flik,M,5.5,juvm,wound,,limb
2011-07-10,GN,Skit,M,5.7,juvm,limp,,limb
2011-07-13,TWS,Marv,M,10,adm,wound,male-male aggression,headneck
2011-07-16,TWS,KL,M,25,adm,limp,,limb
2011-07-22,TWS,KL,M,25,adm,wound,,headneck
2011-07-24,GN,Mixu,F,22.4,adf,wound,inter-group aggression,multiple
2011-07-24,GN,PH,M,18.2,adm,wound,inter-group aggression,headneck
2011-07-24,GN,Pinc,F,21.4,adf,wound,,limb
2011-07-24,GN,Sput,F,9.1,adf,hairless,inter-group aggression,headneck
2011-07-25,GN,Pili,F,6.5,juvf,wound,inter-group aggression,limb
2011-07-26,GSAA,OO7,F,13.9,adf,limp,,limb
2011-07-28,TWS,KK,F,15.5,adf,limp,,handfoot
2011-07-30,TWS,Brog,F,2.5,juvf,limp,,limb
2011-08-01,TWS,Mwiz,M,15.2,adm,wound,,limb
2011-08-14,alone,Flip,M,11.7,adm,wound,,trunk
2011-08-29,TWN,Kayl,F,8.5,adf,limp,,limb
2011-09-06,GN,PH,M,18.3,adm,wound,male-male aggression,multiple
2011-09-07,GN,PH,M,18.3,adm,wound,male-male aggression,multiple
2011-09-13,GSC,Suom,F,1.6,juvf,limp,,handfoot
2011-09-19,TWS,Bonn,F,11.8,adf,wound,,trunk
2011-09-25,GN,Peab11inf,U,0.6,inf,wound,,multiple
2011-09-29,TWS,Marv,M,10.2,adm,wound,,limb
2011-10-02,TWS,Marv,M,10.2,adm,scar,,tail
2011-10-05,alone,CutT,M,10.4,adm,wound,,multiple
2011-10-05,GN,Squi,M,12.3,adm,wound,,multiple
2011-10-07,GN,Daff,F,11.9,adf,limp,,handfoot
2011-10-08,GN,Rafi,M,9.6,adm,wound,,headneck
2011-11-13,GN,Pinc ,F,21.7,adf,limp,,limb
2011-12-10,GN,Spee,F,6,juvf,limp,,limb
2011-12-29,GN,Pinc,F,21.9,adf,limp,,limb
2012-01-25,TWS,Kami,F,11.8,adf,limp,,limb
2012-01-31,TWN,Kmac,M,5.8,juvm,limp,,limb
2012-02-02,GSB,Fezi,M,9.9,adm,wound,,headneck
2012-02-03,GN,Tux,F,9.9,adf,bump,bumps,headneck
2012-02-04,TWS,Suda,M,0.6,inf,wound,infanticide,multiple
2012-02-09,TWS,Bliz,M,5.9,juvm,limp,,handfoot
2012-02-16,TWN,Duke,M,5.1,juvm,wound,,headneck
2012-02-18,GN,Shim,M,3.8,juvm,limp,,limb
2012-02-24,GSC,Lond,F,12.3,adf,scar,,limb
2012-02-26,GN,Tux,F,10,adf,wound,,limb
2012-02-28,GN,Pari,F,5.1,juvf,limp,,limb
2012-03-13,GSB,Gigi,F,18.1,adf,hairless,,tail
2012-03-13,TWN,Asha12inf,M,0.1,inf,wound,,headneck
2012-03-15,TWN,Khan,M,9.3,adm,wound,,limb
2012-03-16,TWN,Khan,M,9.3,adm,wound,,limb
2012-03-18,GSAA,Lox,M,0.6,inf,limp,,limb
2012-03-23,GSAA,Ci,F,17,adf,hairless,,tail
2012-03-25,GSAA,Lala,F,7.3,adf,limp,,limb
2012-03-26,TWS,Kwan,M,4,juvm,limp,,handfoot
2012-03-29,GN,Taxi,F,3.2,juvf,scar,,headneck
2012-04-03,TWS,Sifa,F,6.2,juvf,wound,,headneck
2012-04-04,TWS,Sifa,F,6.2,juvf,limp,,limb
2012-04-18,GN,Mend,F,2.2,juvf,limp,,limb
2012-04-22,GN,Wren,F,27.2,adf,limp,,limb
2012-05-09,GSC,Hava11inf,F,0.4,inf,wound,eagle attack,headneck
2012-05-11,GN,Dean,M,1.3,juvm,wound,,headneck
2012-05-14,GN,Desd,F,11.4,adf,wound,,headneck
2012-05-16,TWS,Kami,F,12.1,adf,wound,,limb
2012-06-17,TWS,Peke,M,1.5,juvm,limp,,limb
2012-06-22,GSB,Fezi,M,10.3,adm,limp,,limb
2012-07-02,GSAA,Dina,F,11.2,adf,limp,,handfoot
2012-07-08,GSB,Fezi,M,10.3,adm,wound,,headneck
2012-07-10,TWS,Mwiz,M,16.2,adm,wound,,headneck
2012-07-11,TWN,Opal,F,9.3,adf,not_specified,,headneck
2012-07-12,TWS,Twin,F,14.3,adf,wound,,tail
2012-07-14,GN,Dada,M,6.6,juvm,wound,,tail
2012-07-16,GN,Dion,F,6.5,juvf,limp,,limb
2012-07-16,TWS,Fris,M,3.4,juvm,limp,,limb
2012-07-23,GN,Dada,M,6.6,juvm,wound,,limb
2012-07-23,GSC,Fish,M,2.6,juvm,wound,fall from tree,headneck
2012-07-24,GSC,Gary,M,adult,adm,wound,,multiple
